"month","mtr"
"2025-01",564.76008
"2025-02",40211.97264
"2025-03",36883.46304
"2025-04",22532.06952
"2025-05",9171.06264
"2025-06",15427.67616
"2025-07",19250.33184
"2025-08",55707.48864
"2025-09",112835.57976
"2025-10",84429.7884
"2025-11",25228.48392
"2025-12",2607.94368
"2026-01",0
